adapter,arm,source_code,length,kernel,mean_alpha,p95_alpha,direction_norm,natural_action_threshold,market_feature_cols,n_adapter_train_rows,n_adapter_holdout_rows,feature_contract
original_ppo_hidden_direction,hidden_direction,4,20,none,0.0,0.0,0.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
oracle_schedule_adapter_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.03203878506200197,0.27297141253948215,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.031792556469629064,0.27034302055835724,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_adapter_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.1449724971389793,0.9448706865310669,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_no_bad_penalty_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.0007776484412708373,0.0009099979244638235,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_random_labels_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.002938789367676983,0.00668618315830827,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
manual_stage55_hawkes_hidden_direction,hidden_direction,4,20,hawkes_retriggered_dose,0.02251410383769583,0.0,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
original_ppo_hidden_subspace,hidden_subspace,4,20,none,0.0,0.0,0.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
oracle_schedule_adapter_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.03203441561313504,0.27292295396327976,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
oracle_no_bad_penalty_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.03179256112434239,0.27034305632114414,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_adapter_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.14405107804364647,0.9444508790969849,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_no_bad_penalty_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.0007776484297378509,0.0009099979244638235,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
learned_context_random_labels_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.003197677027781612,0.005741427931934595,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
manual_stage55_hawkes_hidden_subspace,hidden_subspace,4,20,hawkes_retriggered_dose,0.02251410383769583,0.0,1.0,0.1349417364224791,risk_stress;recovery_score;confidence_derisk;confidence_rerisk;market_feature_Regime_0_Prob;market_feature_Regime_1_Prob;market_feature_regime_entropy;market_feature_SP500_Trend;market_feature_VIX;market_feature_VIX_change_5d;market_feature_turbulence;market_feature_universe_return_20d,2720,40,oracle_includes_hawkes; learned_context_excludes_hawkes_and_target_alpha
