counterfactual_variant,n_days,final_return,annualized_return,annualized_vol,annualized_sharpe,max_drawdown,mean_cash_exec,mean_turnover_l1,mean_stock_turnover_l1,mean_alpha,p95_action_l1_shift,source_trigger_days,mean_source_prob,delta_final_return_vs_original,delta_sharpe_vs_original,delta_max_drawdown_vs_original
manual_stage55_hawkes_hidden_direction,289,-0.01726280410460812,-0.015069430388538585,0.10876048027946791,-0.08541953441283345,-0.11784578160966086,0.5053091631834895,0.007433116499108419,0.004244871805165909,0.010501211073951683,0.0009112570434808545,5,0.07489087067916117,0.0019643510457603153,0.01606878468850613,-8.519621349878381e-05
learned_context_adapter_hidden_direction,289,-0.01728498285149227,-0.015088812833208842,0.10870246671843979,-0.08570393410974,-0.11793690093329645,0.5052127144637817,0.0074291097136078114,0.0042403241349047525,0.05839383109753861,0.003395791724324214,5,0.07489077954442401,0.0019421722988761658,0.01578438499159958,-0.00017631553713437498
oracle_schedule_adapter_hidden_direction,289,-0.017387231686433413,-0.015178170832550797,0.10876398366633235,-0.0864281704299119,-0.11791404028862096,0.5053519074479601,0.007431264567374493,0.0042432993291359085,0.005305083258283746,0.00010097213089466095,5,0.07489075768651983,0.0018399234639350226,0.015060148671427687,-0.00015345489245888189
oracle_no_bad_penalty_hidden_direction,289,-0.01738731088784451,-0.015178240049249614,0.10876402119249613,-0.08642874927483465,-0.1179140625167232,0.5053517313667647,0.0074312665493231865,0.004243300219477696,0.005283351923753169,0.00010074302554130554,5,0.07489075756910511,0.0018398442625239264,0.015059569826504929,-0.0001534771205611296
oracle_schedule_adapter_hidden_subspace,289,-0.017396212798663546,-0.015186019724290234,0.10876408511014794,-0.08650126057537814,-0.11791253887921638,0.5053493219160291,0.0074312689760374605,0.004243338431566755,0.005304534830737884,9.400583803653717e-05,5,0.07489075809369332,0.0018309423517048895,0.014987058525961439,-0.00015195348305430123
oracle_no_bad_penalty_hidden_subspace,289,-0.017396267616650918,-0.01518606763157504,0.10876411614661287,-0.08650165211717808,-0.11791255875165385,0.5053491730591005,0.007431270446763436,0.004243339063795517,0.005283353492137445,9.380653500556946e-05,5,0.07489075836731167,0.0018308875337175179,0.014986666984161498,-0.0001519733554917746
manual_stage55_hawkes_hidden_subspace,289,-0.017399416437896886,-0.01518881949305284,0.10876341618552188,-0.08652859760135906,-0.11791416126527365,0.5053474526710576,0.007431371531096881,0.004243366295572426,0.01050114677293573,0.000828402489423735,5,0.07489076157566073,0.0018277387124715494,0.014959721499980524,-0.0001535758691115774
learned_context_adapter_hidden_subspace,289,-0.017438497859412427,-0.015222974164229464,0.10868829699956103,-0.08698244199692756,-0.11788323546396873,0.5051991055271617,0.007432497544357885,0.004242910149050038,0.0570202895307633,0.003098436444997776,5,0.07489066598662378,0.0017886572909560083,0.014505877104412021,-0.0001226500678066511
manual_random_direction_control_hidden_subspace,289,-0.017579211960361385,-0.015345950759250604,0.10879130257231806,-0.08794561348317183,-0.11792112438355873,0.505253164155673,0.007430073937968376,0.004241000087945546,0.010505466640765614,0.0011069614440202486,5,0.07489134286691145,0.0016479431900070507,0.013542705618167755,-0.0001605389873966523
learned_context_random_labels_hidden_direction,289,-0.019213150191959127,-0.016774090566248456,0.10874101877725594,-0.10138188625331196,-0.11775999276047833,0.5054475321695466,0.0074423485256433245,0.004249678564143659,0.007646764167661015,0.0006424650549888529,5,0.0748906277961524,1.4004958409308266e-05,0.00010643284802762387,5.926356837493429e-07
manual_random_direction_control_hidden_direction,289,-0.019216262718015797,-0.016776811352736454,0.10874046093613145,-0.1014084152046117,-0.11775923241946595,0.5054434347111461,0.00744240842923256,0.004249729596723223,0.010505746748609369,0.0005849193781614183,5,0.07489064002796744,1.089243235263826e-05,7.990389672787868e-05,1.3529766961228873e-06
learned_context_random_labels_hidden_subspace,289,-0.019221628189243334,-0.01678150153345448,0.10874315732887686,-0.10144706806641912,-0.11775981469694075,0.505436248329684,0.007442509589120379,0.00424976763364652,0.004512162038220163,0.00017716586589813142,5,0.07489064361654103,5.52696112510187e-06,4.125103492046145e-05,7.706992213307728e-07
original_ppo,289,-0.019227155150368436,-0.016786332882618105,0.10874519468014017,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.004249848179634805,0.0,0.0,0,0.0,0.0,0.0,0.0
learned_context_no_bad_penalty_hidden_subspace,289,-0.019227188182301402,-0.01678636175723036,0.10874475721658079,-0.10148943289739382,-0.11776028580265607,0.5054272357052173,0.00744264990783155,0.004249842283926241,0.0009754487820079221,1.1726468801498402e-05,5,0.07489065496484966,-3.303193296666507e-08,-1.1137960542334513e-06,2.9959350600350376e-07
learned_context_no_bad_penalty_hidden_direction,289,-0.019227196272009084,-0.016786368828786702,0.10874463026400466,-0.10148974389886038,-0.11776017071170797,0.5054278338141095,0.00744264655917743,0.004249840382562918,0.0009754487812022798,1.2943893671035753e-05,5,0.07489065456499115,-4.112164064817847e-08,-1.4247975207992702e-06,4.146844541086381e-07
