market_context,code_id,n,share_context_days,mean_return,annualized_sharpe,mean_turnover_l1,score,mean_cash_target,mean_risk_stress
bull_trend,2,96,0.28486646884273,0.001148431391588145,5.035251735618695,0.0013128326954523213,0.7926673177029916,0.160721298928062,0.4225907415651788
bull_trend,1,214,0.6350148367952523,0.0003664982202922737,1.5270919806303138,0.0016336629538393926,0.24474001698591652,0.17691258487300332,0.4054819914802064
bull_trend,4,12,0.03560830860534125,-0.001045794565990575,-3.903888729637071,0.0012734526516924043,-0.6541837941236704,0.17649669448534636,0.40615049772192197
bull_trend,0,15,0.04451038575667656,-0.00218807435126534,-7.98914553683895,0.0008513960040910075,-1.350479569403579,0.18919835090637202,0.38653046650754
calm_hold,1,165,0.4984894259818731,0.0006213825188377393,2.2443419621152056,0.001162894690403845,0.38079001202055013,0.1819994803630944,0.4165863773109393
calm_hold,2,113,0.3413897280966767,0.0004954184902993885,1.9868001870584093,0.0009378266878542763,0.323337912923716,0.15057885435830168,0.4348966369465682
calm_hold,0,52,0.15709969788519637,-0.0007459802966795063,-1.9784099603364829,0.001480915494331865,-0.38612421389575025,0.19332871643396518,0.4177459150624661
calm_hold,4,1,0.0030211480362537764,0.0064574568921933,,0.0007950616392498,,0.2601532340049742,0.3182150743977941
choppy_rotation,5,7,0.01627906976744186,0.002234600683599572,3.262288162252306,0.003323795224071228,0.8886834294475087,0.20776731627328046,0.4814150025934398
choppy_rotation,1,168,0.39069767441860465,0.0009063989616239849,3.4236101012714983,0.001410026199561405,0.5704915432164818,0.1810751092575845,0.3982597799124617
choppy_rotation,6,66,0.15348837209302327,0.00034689494536484884,0.7538506554757288,0.003096688707508988,0.16218325403801298,0.21620302940859934,0.4454607406999695
choppy_rotation,2,47,0.10930232558139535,0.00028636399642416175,0.8204895234044659,0.0012910865775824893,0.15395446212381886,0.15017277890063338,0.40123320986015715
choppy_rotation,0,123,0.28604651162790695,0.00017716375747766218,0.3531284978964538,0.001601350727761694,0.07963784652846391,0.2044926804255664,0.4453102427923923
choppy_rotation,4,17,0.03953488372093023,1.4681865939750663e-05,0.04886141555436795,0.0034615408386695647,0.00789366360452005,0.18713766687056588,0.4884041117485457
choppy_rotation,3,2,0.004651162790697674,-0.0026655683537985,-34.314394646392024,0.0008313979153338001,-4.103328969379492,0.2079707980155943,0.4408577159508932
recovery,5,6,0.0625,0.0062577786110535995,7.427318176006143,0.0006866721259162833,2.3195546931609385,0.1596659223238627,0.11426126412748992
recovery,2,3,0.03125,0.0016533040519249003,9.788593492930758,0.002029256366088233,1.395086119104933,0.12822000185648588,0.20803830951203228
recovery,1,20,0.20833333333333334,0.0013146360828655448,5.504618600225468,0.006194783103622564,0.8805111962839396,0.17133443653583522,0.23447543850252325
recovery,0,24,0.25,0.0009662288535345667,3.5926524029472535,0.002222685735231642,0.60231037423839,0.19224659601847324,0.20606087872282677
recovery,7,4,0.041666666666666664,0.00022671207185327464,0.28949865448232087,0.003331236323477525,0.0854150602905618,0.0982832163572309,0.11180586113732928
recovery,6,18,0.1875,-0.001881527874542784,-3.0973102492871063,0.0017838044392631054,-0.7842328102013448,0.22690537903043953,0.1357538008087288
recovery,3,20,0.20833333333333334,-0.005145192026099024,-8.335388470187699,0.0022826116981379853,-2.1305837599353517,0.2363750159740447,0.11289928498340385
recovery,4,1,0.010416666666666666,0.0010088373557453,,0.0026226111828091,,0.1306518912315368,0.1633145030152839
stress,7,54,0.034482758620689655,0.003638776680129057,2.9893730430932837,0.004054774053639562,1.2150980728911227,0.11989444383868454,0.3366793162421946
stress,1,222,0.1417624521072797,0.0014546712103003028,4.2259668475807555,0.0015546903670164143,0.7888628916803485,0.17425944542025654,0.4986830067728516
stress,5,110,0.070242656449553,0.0008701452594383431,1.7846739801799036,0.0011516898693985757,0.39751366542257316,0.130789656530727,0.460983826035874
stress,2,83,0.05300127713920817,0.0005997118867556474,2.2275345389492656,0.0014052091984595194,0.3735998075176578,0.14146357272044718,0.5421785096758813
stress,4,316,0.20178799489144317,0.0006527005659389426,1.6521512565911736,0.006344683324643934,0.32842673161080216,0.15201587163949307,0.4533661091797499
stress,6,256,0.16347381864623245,0.0006843297958407072,1.3144826974053834,0.0033313145842620013,0.30323311537554415,0.19942289474420247,0.4243223550918707
stress,3,212,0.13537675606641125,0.000456856120168685,0.3833463974555083,0.0019047126444580815,0.15308143949916783,0.19979822973035408,0.5287380636030081
stress,0,313,0.19987228607918264,-0.00015648040538385305,-0.29082144237979773,0.0017270633751750447,-0.06886061906974575,0.17854659644940404,0.5197921766797656
